,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750,6000,6250,6500
0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
10,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85,85,85,85,85,85,85,85
20,85,86,86,87,88,88,88,88,88,88,88,88,88,88,88,88,86,86,86,86,85,85,85,85,85,85,85
30,86,86,87,88,88,90,90,90,90,90,90,90,90,90,90,90,90,88,86,86,86,85,85,85,85,85,85
40,86,87,88,88,90,90,92,92,92,92,92,92,92,92,92,92,90,90,88,86,86,85,85,85,85,85,85
50,86,88,88,90,92,92,92,92,92,92,92,92,92,92,92,92,92,90,90,87,86,86,85,85,85,85,85
60,86,88,88,90,92,94,94,94,94,94,94,94,94,94,94,94,94,92,92,88,86,86,85,85,85,85,85
70,86,88,88,92,94,94,94,94,95,95,95,95,95,94,94,94,94,94,92,90,87,86,85,85,85,85,85
80,86,88,88,92,94,94,94,95,96,96,96,96,96,96,95,94,94,94,94,92,88,86,85,85,85,85,85
90,86,88,90,92,94,94,94,95,96,96,96,96,96,96,96,95,95,94,94,92,90,88,86,85,85,85,85
100,86,88,90,92,94,94,95,96,96,96,96,96,96,96,96,96,95,95,94,94,92,90,86,85,85,85,85
110,86,88,90,92,94,94,95,96,96,96,96,96,96,96,96,96,95,95,94,94,92,92,86,85,85,85,85
120,86,88,90,92,94,94,95,96,96,96,96,96,96,96,96,96,95,95,95,94,94,92,87,85,85,85,85
130,86,88,88,92,94,95,95,95,96,95,95,95,95,95,95,95,95,95,95,94,94,92,88,85,85,85,85
140,86,87,88,92,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,94,94,94,88,86,85,85,85
150,86,86,88,92,94,95,95,95,95,95,95,95,95,95,95,95,95,95,94,94,94,94,88,86,85,85,85
160,86,86,88,92,92,94,95,95,95,95,95,95,95,95,95,95,94,94,94,94,94,94,88,86,85,85,85
170,86,86,88,90,92,94,94,94,94,95,95,95,94,94,94,94,94,94,94,94,94,94,88,86,85,85,85
180,86,86,88,88,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,88,86,85,85,85
190,85,86,88,88,92,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,88,86,85,85,85
200,85,86,87,88,92,92,92,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,88,86,85,85,85
210,85,86,86,88,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,88,86,85,85,85
220,85,85,86,88,88,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,88,86,85,85,85
230,85,85,86,87,88,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,87,85,85,85,85
